dateChecked,timeChecked,dateCheckedHour,dateCheckedMinute,dateCheckedDayOfWeek,dateCheckedDayOfMonth,checkMinSmall,appointmentDaysFound,earliestAppointmentDate,earliestAppointmentDelta,correcEarliestDelta,dateToday,dateByTomorrow,dateWithin3days,dateWithin7days,dateWithin14days,dateWithin30days,anyday,Time of day,Has appointments/100,Has appointments,Has appointments (14 days)
2021-09-19 00:00:00,0:12:00,0,12,6,19,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-20 00:00:00,0:12:00,0,12,0,20,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-21 00:00:00,0:12:00,0,12,1,21,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-22 00:00:00,0:12:00,0,12,2,22,,1,2021-10-21 00:00:00,29,29,0,0,0,0,0,1,1,00:00,1,100,0
2021-09-23 00:00:00,0:12:00,0,12,3,23,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-24 00:00:00,0:12:00,0,12,4,24,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-25 00:00:00,0:12:00,0,12,5,25,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-26 00:00:00,0:12:00,0,12,6,26,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-27 00:00:00,0:12:00,0,12,0,27,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-28 00:00:00,0:12:00,0,12,1,28,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-29 00:00:00,0:12:00,0,12,2,29,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-30 00:00:00,0:12:00,0,12,3,30,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-01 00:00:00,0:12:00,0,12,4,1,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-02 00:00:00,0:12:00,0,12,5,2,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-03 00:00:00,0:12:00,0,12,6,3,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-04 00:00:00,0:12:00,0,12,0,4,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-05 00:00:00,0:12:00,0,12,1,5,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-06 00:00:00,0:12:00,0,12,2,6,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-07 00:00:00,0:12:00,0,12,3,7,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-08 00:00:00,0:12:00,0,12,4,8,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-09 00:00:00,0:12:00,0,12,5,9,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-10 00:00:00,0:12:00,0,12,6,10,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-11 00:00:00,0:12:00,0,12,0,11,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-12 00:00:00,0:14:00,0,14,6,12,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-13 00:00:00,0:14:00,0,14,0,13,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-14 00:00:00,0:14:00,0,14,1,14,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-15 00:00:00,0:14:00,0,14,2,15,,1,2021-09-15 00:00:00,0,0,1,1,1,1,1,1,1,00:00,1,100,100
2021-09-16 00:00:00,0:14:00,0,14,3,16,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-17 00:00:00,0:14:00,0,14,4,17,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-18 00:00:00,0:14:00,0,14,5,18,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-19 00:00:00,0:14:00,0,14,6,19,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-20 00:00:00,0:14:00,0,14,0,20,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-21 00:00:00,0:14:00,0,14,1,21,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-22 00:00:00,0:14:00,0,14,2,22,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-23 00:00:00,0:14:00,0,14,3,23,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-24 00:00:00,0:14:00,0,14,4,24,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-25 00:00:00,0:14:00,0,14,5,25,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-26 00:00:00,0:14:00,0,14,6,26,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-27 00:00:00,0:14:00,0,14,0,27,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
